ENSG	evidence
ENSG00000001167	Dorothea|Vasquerizas|Carro|Lambert|HumanTFDB|TcoFDB|GO0003700
ENSG00000004848	Dorothea|Vasquerizas|Lambert|HumanTFDB|TcoFDB|GO0003700
ENSG00000005073	Dorothea|Vasquerizas|Carro|Lambert|HumanTFDB|TcoFDB|GO0003700
ENSG00000005102	Dorothea|Vasquerizas|Carro|Lambert|HumanTFDB|TcoFDB|GO0003700
ENSG00000005339	Carro|TcoFDB
ENSG00000005436	HumanTFDB|TcoFDB|GO0003700
ENSG00000005513	Dorothea|Vasquerizas|Lambert|HumanTFDB|TcoFDB|GO0003700
ENSG00000005801	Dorothea|Vasquerizas|Carro|Lambert|HumanTFDB|TcoFDB|GO0003700
ENSG00000005889	Dorothea|Vasquerizas|Carro|Lambert|HumanTFDB|TcoFDB|GO0003700
ENSG00000006047	Dorothea|Vasquerizas|Lambert|HumanTFDB|TcoFDB
ENSG00000006194	Dorothea|Vasquerizas|Carro|Lambert|HumanTFDB|TcoFDB|GO0003700
ENSG00000006377	Dorothea|Vasquerizas|Carro|Lambert|HumanTFDB|TcoFDB|GO0003700
ENSG00000006468	Dorothea|Vasquerizas|Carro|Lambert|HumanTFDB|TcoFDB|GO0003700
ENSG00000006576	Dorothea|Carro|TcoFDB
ENSG00000006704	Carro|Lambert|HumanTFDB|GO0003700
ENSG00000007372	Dorothea|Vasquerizas|Carro|Lambert|HumanTFDB|TcoFDB|GO0003700
ENSG00000007545	Dorothea|Vasquerizas|TcoFDB
ENSG00000007866	Dorothea|Vasquerizas|Carro|Lambert|HumanTFDB|TcoFDB|GO0003700
ENSG00000007968	Dorothea|Vasquerizas|Carro|Lambert|HumanTFDB|TcoFDB|GO0003700
ENSG00000008083	Dorothea|HumanTFDB|TcoFDB|GO0003700
ENSG00000008196	Dorothea|Vasquerizas|Carro|Lambert|HumanTFDB|TcoFDB|GO0003700
ENSG00000008197	Dorothea|Vasquerizas|Lambert|HumanTFDB|TcoFDB|GO0003700
