DB	HGNC	GeneSymbol
Vasquerizas	HGNC:9902	RBM5
Vasquerizas	HGNC:9107	PLXND1
Vasquerizas	HGNC:9903	RBM6
Vasquerizas	HGNC:3086	DVL2
TcoFDB	HGNC:18541	KMT2E
Carro	HGNC:4169	GAS7
Carro	HGNC:961	BAZ1B
Lambert	HGNC:19003	SCMH1
TcoFDB	HGNC:1100	BRCA1
Vasquerizas	HGNC:22949	DEPDC1
Vasquerizas	HGNC:25818	BRD9
HumanTFDB	HGNC:2752	PIAS1
Vasquerizas	HGNC:24902	DEPDC1B
Vasquerizas	HGNC:2553	CUL3
Vasquerizas	HGNC:31792	BOD1L1
Vasquerizas	HGNC:20286	TRIT1
Vasquerizas	HGNC:22950	PREX2
Carro	HGNC:10580	SCML1
Vasquerizas	HGNC:9817	RAD51
Vasquerizas	HGNC:2551	CUL1
Vasquerizas	HGNC:17277	ZFR
Vasquerizas	HGNC:18999	RIOK2
Lambert	HGNC:25404	FLYWCH1
Carro	HGNC:13861	LZTS1
Carro	HGNC:10067	RNF4
Lambert	HGNC:17575	SPEN
Lambert	HGNC:23370	MSANTD3
GO0003700	HGNC:29923	NUCKS1
GO0003700	HGNC:12434	TXK
Vasquerizas	HGNC:12789	WNT8B
Vasquerizas	HGNC:7113	MKRN2
Vasquerizas	HGNC:9993	RGS11
Vasquerizas	HGNC:9100	PLXNA2
HumanTFDB	HGNC:17311	PIAS2
Vasquerizas	HGNC:4914	UBE2K
HumanTFDB	HGNC:12425	TULP3
Carro	HGNC:1536	CBFA2T2
Vasquerizas	HGNC:16629	RAPGEF3
TcoFDB	HGNC:11098	SMARCA2
Vasquerizas	HGNC:3067	DUSP12
Vasquerizas	HGNC:8057	NUFIP1
Vasquerizas	HGNC:20418	PDS5B
Vasquerizas	HGNC:30579	SSH1
Vasquerizas	HGNC:14484	MRPL28
Lambert	HGNC:13610	KDM2B
HumanTFDB	HGNC:13234	CDIP1
TcoFDB	HGNC:8652	PCBP4
Vasquerizas	HGNC:23747	CERS4
Vasquerizas	HGNC:29243	RBM27
Carro	HGNC:3018	SLC26A3
Vasquerizas	HGNC:16626	RAPGEF4
Carro	HGNC:17307	BTAF1
Vasquerizas	HGNC:3052	DSP
Lambert	HGNC:25300	FBXL19
Carro	HGNC:6742	LZTR1
TcoFDB	HGNC:11103	SMARCB1
Carro	HGNC:4916	HIRA
Vasquerizas	HGNC:18423	DEPDC5
Vasquerizas	HGNC:2927	DMC1
Carro	HGNC:3373	EP300
TcoFDB	HGNC:18594	L3MBTL2
Vasquerizas	HGNC:19238	PLEK2
Lambert	HGNC:16160	DNTTIP1
Vasquerizas	HGNC:21150	RNF125
TcoFDB	HGNC:17407	ZC3H12B
Carro	HGNC:10581	SCML2
Vasquerizas	HGNC:3663	FGD1
HumanTFDB	HGNC:11182	CAPN15
Carro	HGNC:9894	RBL2
Lambert	HGNC:17298	BRF2
Vasquerizas	HGNC:13544	CHRAC1
HumanTFDB	HGNC:12424	TULP2
Vasquerizas	HGNC:10766	SF3A2
Vasquerizas	HGNC:25980	TRMT1
HumanTFDB	HGNC:17002	PIAS4
Vasquerizas	HGNC:29189	ZFR2
Vasquerizas	HGNC:14339	PLEKHA4
Vasquerizas	HGNC:21225	CBLL1
Vasquerizas	HGNC:23721	ZC3HAV1
Vasquerizas	HGNC:7029	MET
Carro	HGNC:29629	BUD31
GO0003700	HGNC:11840	TLE4
Vasquerizas	HGNC:3084	DVL1
GO0003700	HGNC:1076	BMPR1A
Vasquerizas	HGNC:28987	LARP4B
Vasquerizas	HGNC:2552	CUL2
HumanTFDB	HGNC:16493	ZMIZ1
Vasquerizas	HGNC:10004	RGS9
Vasquerizas	HGNC:13080	ZNF29P
Vasquerizas	HGNC:9556	PSMD11
Carro	HGNC:12851	YWHAE
Carro	HGNC:11470	SUPT6H
Carro	HGNC:15462	ZNF330
Vasquerizas	HGNC:10064	TRIM3
Carro	HGNC:1541	CBL
TcoFDB	HGNC:21081	NCOA7
HumanTFDB	HGNC:12423	TULP1
Lambert	HGNC:8919	PHF1
Vasquerizas	HGNC:24968	EXOC2
Carro	HGNC:19874	BRD8
Carro	HGNC:8866	PFDN1
Vasquerizas	HGNC:4598	GRM6
HumanTFDB	HGNC:19985	SUB1
Vasquerizas	HGNC:660	TRIM23
Vasquerizas	HGNC:9099	PLXNA1
Vasquerizas	HGNC:23785	PIKFYVE
Vasquerizas	HGNC:18755	POLE4
HumanTFDB	HGNC:25523	CCDC88A
GO0003700	HGNC:20815	KDM3A
Carro	HGNC:11533	TAF1B
Vasquerizas	HGNC:17800	FARSB
TcoFDB	HGNC:12398	TTF2
Vasquerizas	HGNC:10290	RPA2
Vasquerizas	HGNC:1510	CASP8AP2
Lambert	HGNC:12312	HMGN3
Carro	HGNC:12506	UBN1
Vasquerizas	HGNC:16380	TRIM32
Lambert	HGNC:24566	PHF19
Lambert	HGNC:30779	MTERF2
Carro	HGNC:12932	TRIM25
Vasquerizas	HGNC:16782	TRMT1L
Vasquerizas	HGNC:29899	DEPDC7
Carro	HGNC:12989	ZMYM2
Lambert	HGNC:28785	MTERF4
HumanTFDB	HGNC:22229	ZMIZ2
Vasquerizas	HGNC:25391	NRK
Vasquerizas	HGNC:4993	HMGB1P1
Vasquerizas	HGNC:32594	PREX1
TcoFDB	HGNC:15909	NCOA5
Vasquerizas	HGNC:19057	CHD6
Vasquerizas	HGNC:13094	RNF114
Vasquerizas	HGNC:4717	HIST1H1D
Vasquerizas	HGNC:4715	HIST1H1A
Vasquerizas	HGNC:12974	RNF113A
Vasquerizas	HGNC:4652	GTF2F1
Carro	HGNC:1986	CITED1
GO0003700	HGNC:11335	SSX1
Lambert	HGNC:8988	PIN1
Vasquerizas	HGNC:30313	UBR4
Vasquerizas	HGNC:24973	HP1BP3
Vasquerizas	HGNC:13664	MACF1
Lambert	HGNC:21463	MTERF1
Vasquerizas	HGNC:12862	ZFP36
TcoFDB	HGNC:744	ASH2L
Carro	HGNC:1537	CBFA2T3
Lambert	HGNC:21605	SAFB2
TcoFDB	HGNC:7137	AFDN
Vasquerizas	HGNC:29350	KIAA1683
Vasquerizas	HGNC:30021	HELZ2
Carro	HGNC:16384	TRIM28
Vasquerizas	HGNC:9101	PLXNA3
HumanTFDB	HGNC:16861	PIAS3
